ensembl_gene_id,gene_symbol,SRR35143100,SRR35143101,SRR35143102,SRR35143106,SRR35143107,SRR35143108,SRR19070038,SRR19070039,SRR19070040,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000000731,Aire,6,4,3,4,1,2,13,3,6,75.00099999999999,4,8
ENSMUSG00000000732,Icosl,11.540000000000001,22.341,4.816,33.252,28.941,2.42,55.144999999999996,27.87,10.392,91.49300000000001,11.517,11.603000000000002
ENSMUSG00000000738,Spg7,148.327,143.321,173.02700000000002,222.10700000000003,138.93899999999996,170.25599999999997,335.563,337.759,345.02200000000005,320.498,293.182,280.69399999999996
ENSMUSG00000000739,Sult5a1,1,0,0,1,2.296,0,0,0,1,0,2.3129999999999997,0
ENSMUSG00000000740,Rpl13,49.410000000000004,54.794,43.521,53.555,40.081,68.15,90.18,69.134,77.757,68.48,75.367,70.80799999999999
ENSMUSG00000000743,Chmp1a,25.154,43.196,33.678,49.655,23.916,31.083,57.14,84.029,69.10900000000001,33.085,69.104,80.787
ENSMUSG00000000751,Rpa1,58.034,79.591,73.888,57.292,59.231,63.24,35.751,63.761,63.705,33.25,64.185,53.829
ENSMUSG00000000753,Serpinf1,47.344,72.048,51.221000000000004,98.55700000000002,57.7,55.23,96.541,89.887,79.976,154.374,95.39099999999999,119.134
ENSMUSG00000000759,Tubgcp3,370.395,321.932,387.46999999999997,351.031,259.473,445.18,444.10799999999995,589.684,577.2059999999999,669.757,590.4540000000001,463.03299999999996
ENSMUSG00000000766,Oprm1,79,116,95,80,106,116.112,33,30,29,90.001,28,40
ENSMUSG00000000776,Polr3d,5.106,2.747,1.396,5.304,4.436,2.972,25.599,10.976,0,1.172,7.308999999999999,14.200000000000001
ENSMUSG00000000782,Tcf7,0,0,1.095,0,1.134,1.142,0,0,0,0,0,0
ENSMUSG00000000787,Ddx3x,21.408,10.334,25.077,19.985,19.277,26.581,27.191000000000003,18.987,10.469000000000001,27.921,21.264,19.692999999999998
ENSMUSG00000000791,Il12rb1,4.204,1.295,0,2.806,0,0,2.221,6.677,4.484,6.181,4.213,5
ENSMUSG00000000794,Kcnn3,462.781,550.848,490.147,476.318,460.965,508.255,407.912,485.054,435.425,749.466,399.903,412.645
