ensembl_gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significance,neg_log10_padj
ENSMUSG00000050106,Tmc8,2.9819356965562807,-0.43086658263868194,1.6252546104578895,-0.26510712836390116,0.7909269361174458,0.8622746176819528,Not Significant,0.06435439780625347
ENSMUSG00000050107,Haspin,17.436809492007427,-0.787679618066596,0.4368368429361478,-1.803143738454613,0.07136564358622915,0.14034746609233376,Not Significant,0.8527954239419127
ENSMUSG00000050108,Bpifc,19.705174469711302,-1.448111095288802,0.44324367554758,-3.2670767236550327,0.00108664226673601,0.00383776427302141,Downregulated,2.4159217044494428
ENSMUSG00000050121,Opalin,1.6934271949823971,0.9312125690286502,1.967210103768096,0.473367113784622,0.6359512879803274,0.7475411395038569,Not Significant,0.1263649017756057
ENSMUSG00000050122,Vwa3b,29.636715779361044,1.5202955582489246,0.3471825803080556,4.378951146972766,1.1925185841236126e-5,6.417119997588059e-5,Upregulated,4.192659839499043
ENSMUSG00000050128,Or5m10,11.237526594994009,1.5232720856723316,0.5373096262149997,2.83499868856399,0.00458258737907404,0.01363438350580444,Upregulated,1.8653644943985708
ENSMUSG00000050132,Sarm1,859.8131189043445,0.4680876324043936,0.2699703433502189,1.7338483427313611,0.08294499551850115,0.15866599097604983,Not Significant,0.7995161514697441
ENSMUSG00000050141,Spata31f3,2.5671519090978925,-0.0487368021581056,0.9667747975277436,-0.05041174250997891,0.9597942791153998,0.975192109745488,Not Significant,0.01090982124104651
ENSMUSG00000050147,F2rl3,6.37983006994861,-1.1038655907479091,1.0175534205713934,-1.08482323230563,0.27799995376811837,0.4117546485056093,Not Significant,0.385361489161391
ENSMUSG00000050148,Ubqln2,2116.7898141046153,1.0279349035126324,0.22229479108201255,4.624196988643742,3.760523636586403e-6,2.2320407957370545e-5,Upregulated,4.651297871920134
ENSMUSG00000050150,Slc9b1,11.363374937949104,0.4570646357274315,0.500136076695624,0.9138805557624168,0.3607796117843965,0.499011264982154,Not Significant,0.3018896502396027
ENSMUSG00000050157,Gm867,3.6455089100104905,-1.098006224953881,1.0610655739872017,-1.0348146729780954,0.3007554691357896,0.4365730446593998,Not Significant,0.35994308245434675
ENSMUSG00000050158,Or2m13,4.480344040405253,1.0628246495201088,0.8857904294883268,1.1998601634633208,0.2301936536108917,0.3555607787773094,Not Significant,0.44908615124519585
ENSMUSG00000050164,Mchr1,203.4251097364481,-0.9880311374219016,0.2541016770284187,-3.888329856679382,1.0093638976389048e-4,4.534916335019945e-4,Not Significant,3.3434307208584264
ENSMUSG00000050174,Nudt6,60.06135249503753,1.2217318580607808,0.33393246278857486,3.65861961385379,2.535773842752906e-4,0.00104082743349596,Upregulated,2.9826212694260055
ENSMUSG00000050188,Lsm10,1.0019079583117363,3.2359044656308775,3.415282954448518,0.9474777079351524,0.3433954102642446,0.48081028707188533,Not Significant,0.3180262490528181
ENSMUSG00000050195,Scd4,30.48432650956515,0.6711952620974372,0.3364747313630958,1.994786530858802,0.04606616700640238,0.09755188307238152,Not Significant,1.0107643428758077
ENSMUSG00000050199,Lgr4,12.921150729396162,-1.2653842675071816,0.546576835339189,-2.315107750078582,0.02060703600028623,0.04989474545492694,Downregulated,1.3019451886469235
ENSMUSG00000050211,Pla2g4e,354.7246894477833,-2.7003850115705275,0.19033890390179467,-14.187246832963748,1.0988893917623629e-45,1.7094283052039104e-43,Downregulated,42.76714910914481
ENSMUSG00000050213,Snip1,382.8855673049,0.2198201768119392,0.14863200895632367,1.478955834315168,0.1391521191715044,0.24162450923420672,Not Significant,0.6168590150620658
ENSMUSG00000050229,Pigm,826.2729854225389,-0.41971993913868777,0.13774292481390282,-3.0471252131878948,0.00231041445108845,0.00748765050318346,Not Significant,2.1256544351141273
ENSMUSG00000050232,Cxcr3,17.34395598520729,-0.761322692271713,0.6327535400018096,-1.20318993753798,0.22890282791871677,0.35400185609173307,Not Significant,0.4509944608886632
ENSMUSG00000050241,Klre1,5.240274555710884,0.6932511622425668,0.8078258445318959,0.8581690805451753,0.39079910657120953,0.5294054704533205,Not Significant,0.276211575359159
ENSMUSG00000050243,Gm5446,1.9896597680978712,4.219689380141454,3.399545554280945,1.2412510180449638,0.2145130332327462,0.33750422116492945,Not Significant,0.4717207910783728
ENSMUSG00000050244,Heatr1,185.7784090087736,-0.252517891372572,0.30921959058515724,-0.8166296672688663,0.4141400956816175,0.5531527464147925,Not Significant,0.25715492698614534
ENSMUSG00000050248,Evc2,23.13399143610517,-0.6302460355808247,0.42723418796379087,-1.4751769716384204,0.14016497091055224,0.2430347936148199,Not Significant,0.6143315470057019
ENSMUSG00000050251,Or6c76,1.699952312245562,-0.4820510078791002,1.4558196638381828,-0.3311200005419635,0.7405538447428656,0.8260529564804965,Not Significant,0.08299211010086957
ENSMUSG00000050266,Or52b1,4.3551082309925055,-0.00914575422837502,0.903613965081136,-0.01012130686532033,0.9919245033940411,0.9952113538194888,Not Significant,0.0020846779978853135
ENSMUSG00000050271,Prag1,1.4239061428780106,0.5929627714159368,1.7620431635052227,0.33652000342395655,0.7364787697154478,0.82324042582208,Not Significant,0.0844733113744122
ENSMUSG00000050272,Dscam,100.39754203192273,1.8096545099975936,0.3576351649833247,5.06005753120494,4.191299958920438e-7,2.920989811075008e-6,Upregulated,5.534469957919164
ENSMUSG00000050288,Fzd2,421.7062391374516,-0.6412594276136442,0.20818178579105867,-3.0802859394108726,0.00206801950133075,0.00679692550195083,Not Significant,2.1676874901585057
ENSMUSG00000050295,Foxc1,248.6622247875489,-1.114106878336393,0.24464612791067364,-4.553952632935932,5.264721516077681e-6,3.0363475519256177e-5,Downregulated,4.517648518927887
ENSMUSG00000050296,Abca12,57.58433299849598,-0.6707762245968332,0.25085163210427813,-2.6739958555182683,0.00749533778041818,0.02092721017697526,Not Significant,1.6792886639451903
ENSMUSG00000050299,Gm9843,153.67171484476214,-8.251417979777042,3.292674996248511,-2.5059922370650742,0.01221083007057301,0.03184356116220179,Downregulated,1.4969783697468662
ENSMUSG00000050304,Slc25a2,12.225424560135066,-0.3856833938461621,0.564297824067847,-0.6834748910883456,0.49430681104966073,0.6278722217512958,Not Significant,0.20212873052182462
ENSMUSG00000050310,Rictor,21.879355900873367,-0.12857061998997385,0.58566112997054,-0.21953073784569113,0.8262366384492114,0.8867696141297129,Not Significant,0.05218919675047209
ENSMUSG00000050312,Nsun3,185.88835514446237,-0.8504697309865885,0.2545614255948168,-3.3409214652194543,8.35008387311468e-4,0.00305137978777009,Not Significant,2.515503734846001
ENSMUSG00000050315,Synpo2,183.11347823965951,-0.4591439786492033,0.21509589512901608,-2.134601305960792,0.03279359069035825,0.07358053774589315,Not Significant,1.133237042555168
ENSMUSG00000050321,Neto1,9.595269409095357,3.948691457240097,1.6574831981215734,2.382341770773394,0.01720292317279884,0.04289350309490729,Upregulated,1.3676084836592457
ENSMUSG00000050323,Ndufaf6,33.018502867631156,0.5800921303923223,0.43037319976048966,1.3478816309081372,0.17769645707892273,0.2922142494646701,Not Significant,0.5342986100547423
ENSMUSG00000050332,Amer1,1146.9767707546846,0.14157541088291362,0.13182701383310355,1.0739484022762724,0.28284580797568465,0.416678000295482,Not Significant,0.380199428754375
ENSMUSG00000050335,Lgals3,5.435043259016821,-1.0307412850090223,0.8005925123811857,-1.287473051606878,0.1979294565626404,0.31736093290554424,Not Significant,0.4984465358918133
ENSMUSG00000050345,4930486L24Rik,1.4625635900994565,-4.250550981009946,3.413705348646993,-1.2451429010106667,0.2130792268056939,0.3356844160287416,Not Significant,0.47406882017534885
ENSMUSG00000050357,Carmil2,1488.0980341843767,2.016403103982253,0.1825034957917208,11.04857249574792,2.227282703033437e-28,1.358482212684711e-26,Upregulated,25.866946043652753
ENSMUSG00000050370,Ch25h,48.78445600028442,-1.5507651600085512,0.24793443179047997,-6.254739000184712,3.9818125097362736e-10,4.289429028912851e-9,Downregulated,8.367600513431945
