ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000001674,Ddx18,38.011585,21.522313,24.069979,32.997088999999995,26.115044,20.708899
ENSMUSG00000001687,Ubl3,143.927112,118.693546,114.069963,112.39374199999999,102.333736,112.828085
ENSMUSG00000001700,Gramd2b,0.586887,0.452971,0.310936,1.169695,0.18247,0.530595
ENSMUSG00000001707,Eef1e1,22.507462,26.233709,21.378449,21.670715,22.964968,21.08974
ENSMUSG00000001729,Akt1,9.513987,12.608918,10.982103,4.466059,10.855669,21.071823000000002
ENSMUSG00000001739,Cldn15,0.620539,0,0.518782,0.243865,0,1.761558
ENSMUSG00000001741,Il16,0,0.42011200000000004,0.064532,0,0.881285,0.790446
ENSMUSG00000001750,Tcirg1,37.551626,34.895715,42.846751000000005,23.141321,37.83308,39.30524300000001
ENSMUSG00000001751,Naglu,3.881427,7.933866,5.442147,3.089558,5.627804,6.231085
ENSMUSG00000001755,Coasy,4.319984,2.306069,9.411434,6.341527,6.408759,9.150024
ENSMUSG00000001761,Smo,0.521587,0.536587,0.351386,0.525238,0.121637,0.096957
ENSMUSG00000001763,Tspan33,1.754116,1.401716,1.291916,2.189112,1.478764,1.404087
ENSMUSG00000001767,Crnkl1,0.500056,0.402987,0.566317,1.787329,1.341515,1.379298
ENSMUSG00000001768,Rin2,25.863496,12.810108,8.450845,25.607400000000002,12.003443,17.170538
ENSMUSG00000001773,Folh1,0.456478,1.047414,3.189327,4.341274,0,0.563336
ENSMUSG00000001774,Chordc1,79.76453599999999,22.577883,28.303678,95.288301,17.284329,13.913816999999998
ENSMUSG00000001783,Rtcb,3.575081,1.53198,1.980679,2.244321,1.408758,0.493194
ENSMUSG00000001785,Pwp1,1.048982,2.668857,0.646984,1.7519719999999999,5.45863,0.706067
ENSMUSG00000001786,Fbxo7,11.669912,5.180716,6.313963,9.098549,7.046272,4.969102
ENSMUSG00000001794,Capns1,51.745232,258.164437,178.83749,31.359725,216.226856,185.23128499999999
ENSMUSG00000001802,Lrp3,30.312937999999995,33.176709,29.256717000000002,24.382525,34.146293,30.346233999999995
ENSMUSG00000001804,Dsg4,0,0.061877,0,0,0,0.201602
ENSMUSG00000001815,Evx2,0.631098,0.304445,0.473545,0.393512,0.202723,0.440782
ENSMUSG00000001819,Hoxd13,0.230656,0.178395,0.097875,0.690761,0.118776,0.290718
ENSMUSG00000001823,Hoxd12,0,0,0,0,0.116149,0
ENSMUSG00000001827,Folr1,2.222365,1.067216,1.807016,0.9560470000000001,0,0.955622
