ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000000275,Trim25,6.968,0,0,0,3.282,0,0,0,3.018,0,0,0,0,0
ENSMUSG00000000276,Dgke,1615.1480000000001,852.684,838.0260000000001,1800.5790000000002,720.198,794.1400000000001,1563.708,1451.195,1567.403,1514.81,1732.154,1409.678,1418.964,1775.954
ENSMUSG00000000282,Mnt,1.712,18.495,0,0,7.714,0,0,0,4.163,2.189,0,0,0,1.853
ENSMUSG00000000290,Itgb2,165,178,161,111,99,109.089,267.642,240.65499999999997,277.18300000000005,245.547,138.01,112.995,110.559,128.135
ENSMUSG00000000295,Hddc2,33.068,13.787999999999998,16.162,20.451999999999998,11.118,6.167,31.505000000000003,37.016999999999996,26.692,24.695999999999998,36.772999999999996,29.983,23.035,18.939999999999998
ENSMUSG00000000301,Pemt,9.922,18.487000000000002,41.309000000000005,2.365,16.764,8.036,61.885,15.084999999999999,27.83,15.169999999999998,5.198,21.872999999999998,17.604,5.255
ENSMUSG00000000303,Cdh1,2,9,1,0,6,8,62,182.399,99.117,117,265.642,128.073,197.405,153.681
ENSMUSG00000000305,Cdh4,0,4.454000000000001,2.242,4.047,6.475,2.3899999999999997,1.635,3.082,0,1.83,1.075,3.7840000000000003,1,0
ENSMUSG00000000308,Ckmt1,103.875,87.159,141.804,72.941,56.842,73.135,120.625,69.985,109.899,80.708,63.903000000000006,58.443,80.449,92.351
ENSMUSG00000000317,Bcl6b,46,50,37,59,45,54,15.013,15,20,13,24,19,9.011,19.015
ENSMUSG00000000318,Clec10a,0,1.478,2,0,0,0,0,18.078,18.404,17,1.012,0,7.656000000000001,2.65
ENSMUSG00000000320,Alox12,3.755,14,11,5,11.586,11,8,2.78,3,3,11.59,2,7,7.756
ENSMUSG00000000326,Comt,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000339,Rtca,77.02,28.47,27.872,44.004999999999995,23.025000000000002,19.603,34.253,30.886,56.010999999999996,39.039,23.575000000000003,38.608999999999995,39.84,46.934
ENSMUSG00000000340,Dbt,7.343999999999999,1.564,11.655999999999999,0,15.062000000000001,12.134,7.943999999999999,7.656,4.421,2.407,4.333,7.284000000000001,5.727,4.662
ENSMUSG00000000346,Dazap2,15.446,23.712,22.392,31.612000000000002,32.808,24.13,25.747,31.826999999999998,28.849,24.429000000000002,37.44,42.352000000000004,45.995000000000005,37.888999999999996
ENSMUSG00000000355,Mcts1,293.578,139.786,115.952,322.11100000000005,137.213,157.07000000000002,257.93699999999995,260.817,265.492,278.943,204.69000000000003,276.62300000000005,301.60299999999995,299.51800000000003
ENSMUSG00000000359,Rem1,0,1.349,1.448,1.734,0,0,0,1.958,0,0,1.515,0,0,0
ENSMUSG00000000365,Rnf17,0,0,2.287,0,2.801,0,0,0,3.751,0,0,0,0,2.14
ENSMUSG00000000374,Trappc10,229.50799999999998,171.673,150.32500000000002,188.305,136.497,163.393,152.05,106.742,132.155,132.808,96.80199999999999,114.92,164.024,167.954
ENSMUSG00000000378,Ccm2,6.1240000000000006,20.817,15.623999999999999,21.845,1.787,13.181000000000001,14.077,189.846,331.13,222.541,19.698,129.643,198.93,204.542
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,205.646,89.93499999999999,80.072,165.57899999999998,191.876,78.88900000000001,125.853,138.59300000000002,333.94300000000004,156.233,130.193,106.91699999999999,148.541,152.842
ENSMUSG00000000385,Tmprss2,3,6,5,3,4,7,0,1,0,0,1,3,0,0
ENSMUSG00000000386,Mx1,22.145,5,2.867,2.764,12,16.566,29.067999999999998,43,21,26.265,3.973,7,9.187,5
ENSMUSG00000000392,Fap,16,4,9,16,2,6,10,20,18,19,32.037,19,17,16
ENSMUSG00000000394,Gcg,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,1521.7,2290.434,2212.763,2036.157,1804.705,2187,2724.778,2808.638,2705.686,2689.826,2831.509,2891.033,2615.9120000000003,2874.13
ENSMUSG00000000409,Lck,11.729,5.944,6.1770000000000005,7.534,4.973,1,5.407,7.215,5.747,2.616,12.742,5.269,4.867,0
ENSMUSG00000000411,Tssk3,2,1,3,1,1,0,0,0,0,0,0,0,2,1
ENSMUSG00000000416,Cttnbp2,1968,1287.001,1230.124,2294,1000.172,1190.5880000000002,1952.504,1782.1639999999998,1655.65,1537.4199999999998,1621.4719999999998,1537.8519999999999,1579.1970000000001,2021.213
ENSMUSG00000000420,Galnt1,2390.163,1296.5939999999998,1255.808,2729.433,1010.25,1212.682,2423.1679999999997,2169.745,1888.6509999999998,2079.276,2203.888,1836.8809999999999,2135.255,2439.6730000000002
ENSMUSG00000000435,Myf5,0,3,1,0,3,2,1,2,0,0,0,1,2,2
ENSMUSG00000000439,Mkrn2,521.588,567,559.285,603,421,500.012,734.1610000000001,770.648,675.269,692.519,745.8050000000001,710.086,748.719,783.6990000000001
ENSMUSG00000000440,Pparg,0,0,0,0,0,4.162,0,4.116,0,0,0,0,0,0
ENSMUSG00000000441,Raf1,805.845,669.88,627.558,866.3370000000001,497.75800000000004,658.932,829.153,840.032,800.295,727.126,816.0840000000001,728.1280000000002,837.4090000000002,827.569
