ensembl_gene_id,gene_symbol,SRR19070041,SRR19070042,SRR19070043,SRR19070035,SRR19070036,SRR19070037,SRR25715198,SRR25715200,SRR25715206,SRR25715208,SRR25715228,SRR25715226,SRR25715220,SRR25715218
ENSMUSG00000000791,Il12rb1,2.390151,1.205455,0.696015,1.371616,0.382373,0.370475,0,0,0,0.085153,0,0.25461,0,0
ENSMUSG00000000794,Kcnn3,8.699053,5.948476,6.312771,9.041145,6.621407,5.568561,5.02299,4.558184,4.441356,3.857562,4.657506,3.809562,4.271936,4.607748
ENSMUSG00000000804,Usp32,29.424565,9.576565,13.992759,29.989866,7.826211,12.128334,4.417914,8.79194,5.960834999999999,7.2065980000000005,9.542413999999999,6.66994,5.377174999999999,5.6953890000000005
ENSMUSG00000000805,Car4,1.878655,11.004214,6.808629000000001,8.844354,10.058809,7.573251000000001,0.503141,1.037169,0.33409,0.469499,0.5129,0.313634,1.012637,0.455966
ENSMUSG00000000817,Fasl,0,0,0,0,0,0,0,0,0,0,0,0.513881,0,0.432769
ENSMUSG00000000823,Zfp512b,29.77001,40.208420000000004,43.128488999999995,30.580332000000002,44.72744,45.877128,20.684533,19.271055999999998,22.07586,17.637893,20.188370999999997,16.660518000000003,19.229251,16.999102
ENSMUSG00000000826,Dnajc5,32.166029,25.447917,28.911253000000002,31.348216999999998,29.338667,27.409544,21.099885,19.057405,23.207457,28.800579,21.156478,20.995944,26.992418,25.940376
ENSMUSG00000000827,Tpd52l2,63.988062,51.048252999999995,59.152175,59.47211,69.311298,80.352408,44.217375,35.134073,40.160662,35.202768,34.123514,45.653031999999996,39.669700000000006,45.05391999999999
ENSMUSG00000000838,Fmr1,21.577959999999997,16.137407,12.852726,26.726193,13.343249,19.351005,27.848140000000004,23.287915000000005,24.31807,22.326300000000003,20.935186,19.286800999999997,22.429285999999998,24.547508999999998
ENSMUSG00000000861,Bcl11a,0.662351,0.491736,0.46646,1.283824,0.357164,0.465608,0.318673,0.368937,0.575441,0.374761,0.529223,0.419893,0.37202,0.591612
ENSMUSG00000000869,Il4,0.322635,0,0,0,0,0,0,0,0.187563,0,0,0,0.180613,0
ENSMUSG00000000881,Dlg3,24.067715,13.412487,10.387279,39.51943,11.670442000000001,15.303019,11.027298,6.9083190000000005,11.495014,7.708775,9.171106000000002,7.713608,10.445158999999999,8.079956000000001
ENSMUSG00000000884,Gnb1l,2.079103,2.862689,2.484132,0.710383,3.347236,4.0864080000000005,2.79412,3.96044,2.665256,3.0829000000000004,3.6106520000000004,4.532198,2.259462,2.718033
ENSMUSG00000000889,Dbh,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000901,Mmp11,1.40575,1.459507,2.259937,0.99219,2.557084,2.264527,0.938037,1.278124,1.4397179999999998,0.842986,2.02842,1.109114,1.694132,1.970018
ENSMUSG00000000902,Smarcb1,45.890712,47.872973,55.869393,48.633624999999995,47.967028000000006,54.519877,26.449243,29.149182,30.368814999999998,26.810576,30.171731,24.455347,28.235726,29.735919
ENSMUSG00000000903,Vpreb3,0.256587,1.015365,0.276727,0,0.337705,0.277333,0,0,0,0,0.147008,0.141942,0.293691,0.136282
ENSMUSG00000000915,Hip1r,5.434858,14.777643,17.525879,3.927311,23.663044,16.159793999999998,7.063921000000001,12.26112,9.594906000000002,10.904585999999998,11.856248,11.403054000000001,9.475207000000001,10.635029999999999
ENSMUSG00000000916,Nsun5,12.660658999999999,13.072654,12.425891,8.608495999999999,13.062587,14.501932,4.156074,5.830723,5.354807,6.2419150000000005,5.47668,5.193489,5.766134000000001,7.121815
ENSMUSG00000000934,Top1mt,0,0.849025,0.731602,5.798419,1.090612,0.819745,1.132696,0.975079,0.412969,0,0,0.166124,1.147276,0.185571
ENSMUSG00000000938,Hoxa10,39.416781,26.125396,22.564400999999997,43.429688999999996,27.783692,29.559755,36.706531,36.732066,31.742291,30.41419,34.708799,32.612939,30.562388,34.323918
ENSMUSG00000000942,Hoxa4,12.683873,9.869579,11.465864,10.315852,8.531412,8.808877,4.478894,3.824981,4.800353,3.801293,4.798268,4.759966,4.389078,5.428316
ENSMUSG00000000948,Gm38393,12.897779,9.202876,10.173548,15.983674,11.609755,13.387718,16.409387,13.927585,17.83119,16.04306,15.339745,15.476184000000002,17.70666,19.331369000000002
ENSMUSG00000000957,Mmp14,2.689636,1.022865,1.9987759999999999,2.832342,4.310475,3.1146689999999997,0.594028,0.918519,0.703159,0.265166,0.60677,0.438954,2.12179,0.419956
ENSMUSG00000000958,Slc7a7,2.106474,0,0,0,0,0,0,0.358471,0.529323,0.6750349999999999,1.713794,0.94208,0,0
ENSMUSG00000000959,Oxa1l,10.99561,20.951686000000002,14.668484,8.740883,24.693118,18.196595000000002,9.420005,13.214255999999999,10.885169,13.686358,9.080519,11.438303000000001,12.137666,10.125834000000001
ENSMUSG00000000976,Heatr6,1.999616,4.079557,3.5929789999999997,4.634697999999999,5.690059,3.3926139999999996,2.9318519999999997,1.997669,3.272933,2.881375,1.6107740000000002,1.640768,3.402499,5.171852
