ensembl_gene_id,gene_symbol,SRR35143100,SRR35143101,SRR35143102,SRR35143106,SRR35143107,SRR35143108,SRR19070038,SRR19070039,SRR19070040,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000059366,Or10d1,0.169745,0,0,0,0,0,0,0,0,0.018097,0,0
ENSMUSG00000059371,Or6k14,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059375,Vmn1r33,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059379,Or9g8,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059382,Tas2r120,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059383,Gfral,0,0,0,0.128179,0,0,0,0,0,0,0,0
ENSMUSG00000059395,Nkapl,0.335409,0.166755,0,0.27861,0.056655,0.275187,1.074305,0.081269,0.891083,0.707886,0.325413,1.151842
ENSMUSG00000059397,Or1x2,0.014801,0,0,0.029653,0.015031,0,0,0,0,0.021407,0,0
ENSMUSG00000059406,Tmprss9,0.142469,0,0,0,0,0,0,0,0.121127,0,0,0
ENSMUSG00000059408,Mrgprh,0.199303,0.039636,0.254295,0.199045,0,0.19654,0.632706,0.116941,0.192471,0.453479,0.078051,0.063708
ENSMUSG00000059409,Ppp2r5d,4.303738,4.031691,2.443899,2.330019,1.26948,2.490342,4.384615,7.447474,6.573862,4.074828,6.244483000000001,5.615918
ENSMUSG00000059410,Tas2r125,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059411,Or2a20,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059412,Fxyd2,0.184303,6.2645409999999995,0.5230469999999999,2.858905,18.147895,5.015471,4.644938,6.772627,4.6862900000000005,4.880743,1.728807,6.248829
ENSMUSG00000059422,Gm8116,0,0,0,0.115441,0,0,0,0,0,0,0,0
ENSMUSG00000059423,Zfp933,0,0,0.339598,1.68077,1.086004,0,3.080286,0.70176,0,0,1.337331,0
ENSMUSG00000059429,Or1l4,2.365198,2.985078,2.398872,2.736063,1.939209,3.469733,2.169881,2.738943,1.9034970000000002,2.584296,2.369361,2.599323
ENSMUSG00000059430,Actg2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059434,Gckr,0,0.228752,0,0.071439,0.099483,0.052883,0.095614,0,0.174573,0.051485,0.070734,0.144191
ENSMUSG00000059436,Max,15.245738,7.930359,1.7270979999999998,13.444207,7.137194,4.62586,24.226436,7.741342999999999,15.359447,61.08838,15.480376999999999,15.002431
ENSMUSG00000059439,Bcas3,16.782325999999998,14.193968999999997,22.631666,20.344954,15.829555,19.601437,46.107957,49.338404000000004,67.831853,43.848312,49.893405,39.326156
ENSMUSG00000059447,Hadhb,72.468251,78.38714200000001,75.697506,82.95311000000001,74.171312,78.48299499999999,119.044768,120.13192000000001,121.977328,83.63752000000001,108.062373,136.979997
ENSMUSG00000059456,Ptk2b,0.716546,0.162569,0.094912,1.656468,0.030142,0.071616,0.195411,0.558099,0.599288,0.967633,0.42853,0.436863
ENSMUSG00000059460,Or10ad1b,0.065553,0.074863,0.217741,0.076943,0.038232,0.130237,0.101908,0.223878,0.154616,0.243295,0.074496,0.054333
ENSMUSG00000059461,Gm7331,1.133028,1.812113,0,8.329482,5.727541,3.033545,0,0,0,0,0,0
ENSMUSG00000059463,Spag11b,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059473,Or10g9,0,0,0.022681,0,0,0,0,0,0,0,0,0
ENSMUSG00000059474,Mbtd1,1.0766339999999999,3.975074,2.472357,2.409401,2.574238,2.341285,1.5986909999999999,2.58513,4.510839,10.991972,3.091337,3.6353600000000004
ENSMUSG00000059475,Zfp426,9.982134,13.214814,12.966108,13.206059000000002,12.739342,15.532124999999999,19.774262,18.364834,14.779363,35.698378,12.770639,9.869417
ENSMUSG00000059479,B3gnt8,0.342527,0.543051,0.24793199999999999,0.637046,0.529602,0.5312250000000001,0.67184,0.496737,0.35870799999999997,0.361076,0.9755830000000001,0.354413
ENSMUSG00000059481,Plg,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059482,Cfap418,1.535797,1.1673879999999999,1.586602,0,1.3648589999999998,0.562075,0,1.450717,0,1.324588,0.935808,2.066706
